Country_clean,Year,GDP,Population,GDP_per_capita,Rank_pc,Region
Malaysia,2021,373785.0,34282399.0,10903.11678596355,67.0,Asia
Maldives,2021,5242.0,516154.0,10155.883709125572,71.0,Asia
Mali,2021,19320.0,22388630.0,862.9380180922192,176.0,Africa
Malta,2021,19737.0,518150.0,38091.28630705394,28.0,Europe
Marshall Islands,2021,259.0,41367.0,6261.0293228902265,94.0,Oceania
Mauritania,2021,9126.0,4734874.0,1927.4008136224957,156.0,Africa
Mauritius,2021,11484.0,1266334.0,9068.69751582126,78.0,Africa
Mexico,2021,1316569.0,127648148.0,10314.047016177627,70.0,North America
Federated States of Micronesia,2021,392.0,111624.0,3511.789579301942,128.0,Oceania
Moldova,2021,13694.0,2595809.0,5275.426658895165,101.0,Europe
Mongolia,2021,15286.0,3383741.0,4517.485233060095,113.0,Asia
Montenegro,2021,5865.0,625053.0,9383.204304274997,77.0,Europe
Morocco,2021,142022.0,36954442.0,3843.164510507289,124.0,Africa
Mozambique,2021,16168.0,31707800.0,509.90607989201396,189.0,Africa
Myanmar,2021,58264.0,53387102.0,1091.3497421156144,167.0,Asia
Namibia,2021,12399.0,2810548.0,4411.595176456691,115.0,Africa
Nauru,2021,176.0,11709.0,15031.172602271758,59.0,Oceania
Nepal,2021,36927.0,29475010.0,1252.8240024346048,164.0,Asia
Netherlands,2021,1055173.0,17533044.0,60181.962698547955,12.0,Europe
New Zealand,2021,249775.0,5111300.0,48867.21577680825,21.0,Oceania
Nicaragua,2021,14208.0,6644741.0,2138.232325383337,151.0,North America
Niger,2021,14923.0,24502140.0,609.0488422643899,184.0,Africa
Nigeria,2021,441074.0,218529286.0,2018.374782041799,153.0,Africa
North Macedonia,2021,14008.0,1837114.0,7625.003129909194,86.0,Europe
Norway,2021,503368.0,5408320.0,93072.8950949648,4.0,Europe
Oman,2021,87324.0,4500424.0,19403.505091964667,48.0,Asia
Pakistan,2021,348481.0,239477801.0,1455.1703687975655,161.0,Asia
Palau,2021,236.0,17783.0,13271.101613900917,62.0,Oceania
Panama,2021,67407.0,4345405.0,15512.24799529618,58.0,North America
Papua New Guinea,2021,26113.0,10012896.0,2607.9368046966633,138.0,Oceania
Paraguay,2021,39951.0,6684182.0,5976.946767757072,99.0,South America
Peru,2021,226268.0,33155882.0,6824.36980563509,92.0,South America
Philippines,2021,394087.0,113100950.0,3484.382757174011,129.0,Asia
